"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-02-25",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-02-26",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-02-27",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-02-28",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-02-29",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-01",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-02",,,,,"0.12",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-03",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-04",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-05",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-06",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-07",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-08",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-09",,,,,"0.51",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-10",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-11",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-12",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-13",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-14",,,,,"0.02",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-15",,,,,"0.00","T,,N",,,,
